method,instance,n,m,l,k,nro,value,cost
klsfp.json,100_990_125_6_6,100,990,125,6,6,20,878000
klsfp.json,200_3980_50_3_6,200,3980,50,3,6,6,197760
klsfp.json,200_3980_50_3_7,200,3980,50,3,7,8,197760
klsfp.json,200_3980_50_3_8,200,3980,50,3,8,6,214240
klsfp.json,100_990_125_6_7,100,990,125,6,7,22,878000
klsfp.json,200_3980_50_3_9,200,3980,50,3,9,6,214240
klsfp.json,200_3980_50_3_10,200,3980,50,3,10,7,197760
klsfp.json,100_990_125_6_10,100,990,125,6,10,24,1123840
klsfp.json,100_990_125_6_8,100,990,125,6,8,21,1264320
klsfp.json,100_990_125_6_9,100,990,125,6,9,21,1229200
klsfp.json,200_3980_100_6_1,200,3980,100,6,1,2,731120
klsfp.json,200_3980_100_6_4,200,3980,100,6,4,1,703000
klsfp.json,200_3980_100_6_2,200,3980,100,6,2,1,759240
klsfp.json,200_3980_100_6_7,200,3980,100,6,7,1,703000
klsfp.json,200_3980_100_6_3,200,3980,100,6,3,2,759240
klsfp.json,200_3980_100_6_6,200,3980,100,6,6,2,815480
klsfp.json,200_3980_100_6_9,200,3980,100,6,9,2,703000
klsfp.json,200_3980_100_6_10,200,3980,100,6,10,2,703000
klsfp.json,200_3980_100_6_5,200,3980,100,6,5,2,1096680
klsfp.json,200_3980_100_6_8,200,3980,100,6,8,2,1012320
klsfp.json,200_3980_200_6_2,200,3980,200,6,2,28,1459120
klsfp.json,200_3980_200_6_4,200,3980,200,6,4,33,1459120
klsfp.json,200_3980_200_6_5,200,3980,200,6,5,34,1403000
klsfp.json,200_3980_200_6_9,200,3980,200,6,9,38,1403000
klsfp.json,200_3980_200_6_8,200,3980,200,6,8,30,1403000
klsfp.json,200_3980_200_6_1,200,3980,200,6,1,29,2020320
klsfp.json,200_3980_200_6_3,200,3980,200,6,3,40,1851960
klsfp.json,200_3980_200_6_10,200,3980,200,6,10,31,1459120
klsfp.json,200_3980_200_6_7,200,3980,200,6,7,30,1908080
klsfp.json,200_3980_200_6_6,200,3980,200,6,6,34,2020320
klsfp.json,300_8970_75_2_3,300,8970,75,2,3,47,220800
klsfp.json,200_3980_250_6_3,200,3980,250,6,3,47,1823120
klsfp.json,300_8970_75_2_9,300,8970,75,2,9,45,220800
klsfp.json,300_8970_75_4_2,300,8970,75,4,2,2,365760
klsfp.json,200_3980_250_6_4,200,3980,250,6,4,50,2313960
klsfp.json,300_8970_75_4_4,300,8970,75,4,4,1,381000
klsfp.json,300_8970_75_4_1,300,8970,75,4,1,1,502920
klsfp.json,300_8970_75_4_5,300,8970,75,4,5,1,365760
klsfp.json,200_3980_250_6_10,200,3980,250,6,10,45,1823120
klsfp.json,300_8970_75_4_7,300,8970,75,4,7,1,457200
klsfp.json,200_3980_250_6_6,200,3980,250,6,6,48,2313960
klsfp.json,300_8970_75_4_6,300,8970,75,4,6,1,502920
klsfp.json,300_8970_75_4_8,300,8970,75,4,8,1,472440
klsfp.json,200_3980_250_6_9,200,3980,250,6,9,49,2313960
klsfp.json,300_8970_75_4_10,300,8970,75,4,10,1,411480
klsfp.json,300_8970_150_4_1,300,8970,150,4,1,30,756000
klsfp.json,300_8970_150_4_3,300,8970,150,4,3,34,725760
klsfp.json,300_8970_150_4_2,300,8970,150,4,2,35,816480
klsfp.json,300_8970_150_4_4,300,8970,150,4,4,33,846720
klsfp.json,300_8970_150_4_5,300,8970,150,4,5,32,816480
klsfp.json,300_8970_150_4_7,300,8970,150,4,7,38,725760
klsfp.json,200_3980_250_12_7,200,3980,250,12,7,2,3091200
klsfp.json,300_8970_150_4_6,300,8970,150,4,6,37,1179360
klsfp.json,200_3980_250_12_5,200,3980,250,12,5,2,3348800
klsfp.json,300_8970_150_4_8,300,8970,150,4,8,35,786240
klsfp.json,200_3980_250_12_1,200,3980,250,12,1,1,3606400
klsfp.json,300_8970_150_4_9,300,8970,150,4,9,40,786240
klsfp.json,300_8970_150_4_10,300,8970,150,4,10,35,786240
klsfp.json,200_3980_250_12_8,200,3980,250,12,8,2,3606400
klsfp.json,200_3980_250_12_2,200,3980,250,12,2,1,5023200
klsfp.json,300_8970_300_9_1,300,8970,300,9,1,12,2991000
klsfp.json,300_8970_300_9_4,300,8970,300,9,4,14,2871360
klsfp.json,300_8970_300_9_5,300,8970,300,9,5,12,3110640
klsfp.json,300_8970_300_9_9,300,8970,300,9,9,12,3110640
klsfp.json,300_8970_300_9_2,300,8970,300,9,2,15,3828480
klsfp.json,300_8970_300_9_6,300,8970,300,9,6,13,3828480
klsfp.json,300_8970_300_9_7,300,8970,300,9,7,11,3828480
klsfp.json,300_8970_300_9_8,300,8970,300,9,8,13,4067760
klsfp.json,300_8970_375_9_1,300,8970,375,9,1,25,3890640
klsfp.json,300_8970_300_9_3,300,8970,300,9,3,10,4665960
klsfp.json,400_15960_100_3_1,400,15960,100,3,1,18,389760
klsfp.json,300_8970_300_9_10,300,8970,300,9,10,12,4665960
klsfp.json,400_15960_100_3_2,400,15960,100,3,2,15,389760
klsfp.json,400_15960_100_3_3,400,15960,100,3,3,19,389760
klsfp.json,400_15960_100_3_4,400,15960,100,3,4,21,406000
klsfp.json,400_15960_100_3_5,400,15960,100,3,5,14,633360
klsfp.json,400_15960_100_3_6,400,15960,100,3,6,17,389760
klsfp.json,400_15960_100_3_7,400,15960,100,3,7,18,389760
klsfp.json,400_15960_100_3_8,400,15960,100,3,8,16,389760
klsfp.json,400_15960_100_3_9,400,15960,100,3,9,16,389760
klsfp.json,400_15960_100_3_10,400,15960,100,3,10,14,422240
klsfp.json,300_8970_375_9_5,300,8970,375,9,5,29,3591360
klsfp.json,300_8970_375_9_7,300,8970,375,9,7,30,3591360
klsfp.json,300_8970_375_9_6,300,8970,375,9,6,31,3591360
klsfp.json,300_8970_375_9_2,300,8970,375,9,2,26,5835960
klsfp.json,300_8970_375_9_8,300,8970,375,9,8,28,3591360
