method,instance,n,m,l,k,nro,value,cost
pilot.json,300_8970_375_9_3,300,8970,375,9,3,26,6368394
pilot.json,300_8970_375_9_5,300,8970,375,9,5,26,6368394
pilot.json,300_8970_375_9_6,300,8970,375,9,6,26,6368394
pilot.json,300_8970_375_9_8,300,8970,375,9,8,22,6368394
pilot.json,300_8970_375_9_7,300,8970,375,9,7,29,6368394
pilot.json,300_8970_375_9_9,300,8970,375,9,9,27,6368394
pilot.json,400_15960_200_6_9,400,15960,200,6,9,7,867676
pilot.json,400_15960_200_6_10,400,15960,200,6,10,10,867676
pilot.json,300_8970_375_9_10,300,8970,375,9,10,25,6368394
pilot.json,400_15960_400_6_5,400,15960,400,6,5,74,3495276
pilot.json,400_15960_400_12_1,400,15960,400,12,1,1,12361471
pilot.json,400_15960_400_12_6,400,15960,400,12,6,1,12361471
pilot.json,400_15960_400_12_3,400,15960,400,12,3,1,12361471
pilot.json,400_15960_400_12_2,400,15960,400,12,2,1,12361471
pilot.json,400_15960_400_12_4,400,15960,400,12,4,1,12361471
pilot.json,400_15960_400_12_8,400,15960,400,12,8,1,12361471
pilot.json,400_15960_400_12_7,400,15960,400,12,7,1,12361471
pilot.json,400_15960_400_12_9,400,15960,400,12,9,1,12361471
pilot.json,400_15960_400_12_10,400,15960,400,12,10,1,12361471
pilot.json,500_24950_125_3_1,500,24950,125,3,1,24,109502
pilot.json,500_24950_125_3_2,500,24950,125,3,2,23,109502
pilot.json,500_24950_125_3_3,500,24950,125,3,3,17,109502
pilot.json,500_24950_125_3_4,500,24950,125,3,4,20,109502
pilot.json,500_24950_125_3_5,500,24950,125,3,5,24,109502
pilot.json,500_24950_125_3_6,500,24950,125,3,6,23,109502
pilot.json,500_24950_125_3_7,500,24950,125,3,7,24,109502
pilot.json,500_24950_125_3_8,500,24950,125,3,8,24,109502
pilot.json,500_24950_125_3_9,500,24950,125,3,9,20,109502
pilot.json,500_24950_125_3_10,500,24950,125,3,10,22,109502
pilot.json,500_24950_250_7_1,500,24950,250,7,1,2,1784911
pilot.json,500_24950_250_7_2,500,24950,250,7,2,3,1784911
pilot.json,500_24950_250_7_3,500,24950,250,7,3,3,1784911
pilot.json,500_24950_250_7_4,500,24950,250,7,4,1,1784911
pilot.json,500_24950_250_7_5,500,24950,250,7,5,3,1784911
pilot.json,500_24950_250_7_6,500,24950,250,7,6,3,1784911
pilot.json,400_15960_500_12_1,400,15960,500,12,1,6,19401371
pilot.json,500_24950_250_7_7,500,24950,250,7,7,3,1784911
pilot.json,500_24950_250_7_8,500,24950,250,7,8,1,1784911
pilot.json,500_24950_250_7_9,500,24950,250,7,9,3,1784911
pilot.json,400_15960_500_12_2,400,15960,500,12,2,9,19401371
pilot.json,500_24950_250_7_10,500,24950,250,7,10,2,1784911
pilot.json,400_15960_500_12_3,400,15960,500,12,3,8,19401371
pilot.json,500_24950_500_7_1,500,24950,500,7,1,70,7194661
pilot.json,500_24950_500_7_2,500,24950,500,7,2,74,7194661
pilot.json,500_24950_500_7_4,500,24950,500,7,4,74,7194661
pilot.json,500_24950_500_7_3,500,24950,500,7,3,66,7194661
pilot.json,500_24950_500_7_5,500,24950,500,7,5,69,7194661
pilot.json,400_15960_500_12_5,400,15960,500,12,5,4,19401371
pilot.json,400_15960_500_12_4,400,15960,500,12,4,7,19401371
pilot.json,400_15960_500_12_7,400,15960,500,12,7,8,19401371
pilot.json,400_15960_500_12_8,400,15960,500,12,8,8,19401371
pilot.json,400_15960_500_12_9,400,15960,500,12,9,9,19401371
pilot.json,400_15960_500_12_6,400,15960,500,12,6,10,19401371
pilot.json,400_15960_500_12_10,400,15960,500,12,10,6,19401371
pilot.json,500_24950_500_7_6,500,24950,500,7,6,74,7194661
pilot.json,500_24950_500_7_7,500,24950,500,7,7,75,7194661
pilot.json,500_24950_500_7_8,500,24950,500,7,8,74,7194661
pilot.json,500_24950_500_7_9,500,24950,500,7,9,69,7194661
pilot.json,500_24950_500_7_10,500,24950,500,7,10,70,7194661
pilot.json,1000_99900_250_3_1,1000,99900,250,3,1,57,437752
pilot.json,1000_99900_250_3_2,1000,99900,250,3,2,57,437752
