"Type","name","Nodes","Edges","Labels","Max","Instance","a","b","c","d","Value","t","Cost"
"CBFS","200_3980_250_6_9",200,3980,250,6,9,264,264,0.09266711,0,49,1.154901687,666537
"CBFS","300_8970_300_9_1",300,8970,300,9,1,384,384,0.888893689,28,9,8.720927122,1771866
"CBFS","300_8970_300_9_4",300,8970,300,9,4,384,384,0.561578493,0,11,9.030092686,1767972
"CBFS","300_8970_300_9_2",300,8970,300,9,2,384,384,0.525282518,0,12,9.062916604,1743388
"CBFS","300_8970_300_9_7",300,8970,300,9,7,384,384,0.72348263,9,10,9.000481206,1767907
"CBFS","300_8970_300_9_3",300,8970,300,9,3,384,384,0.526090984,0,10,9.127438323,1772557
"CBFS","300_8970_300_9_5",300,8970,300,9,5,384,384,0.602577163,0,9,9.162593996,1744413
"CBFS","300_8970_300_9_6",300,8970,300,9,6,384,384,0.530424309,0,11,9.161010024,1752006
"CBFS","300_8970_300_9_9",300,8970,300,9,9,384,384,1.184154891,26,9,8.974520151,1773932
"CBFS","300_8970_300_9_10",300,8970,300,9,10,384,384,4.788097674,172,11,9.033566888,1748890
"CBFS","400_15960_100_3_1",400,15960,100,3,1,119,119,0.067529812,0,18,0.110312931,50202
"CBFS","300_8970_300_9_8",300,8970,300,9,8,384,384,2.656796678,75,12,9.332012264,1772822
"CBFS","400_15960_100_3_2",400,15960,100,3,2,119,119,0.068859933,0,15,0.108907125,50438
"CBFS","400_15960_100_3_3",400,15960,100,3,3,119,119,0.069131826,0,19,0.116967158,50104
"CBFS","400_15960_100_3_4",400,15960,100,3,4,119,119,0.080138586,16,20,0.114885887,49792
"CBFS","400_15960_100_3_5",400,15960,100,3,5,119,119,0.085230784,30,14,0.110295246,49325
"CBFS","400_15960_100_3_6",400,15960,100,3,6,119,119,0.082142201,13,17,0.120768278,49501
"CBFS","400_15960_100_3_7",400,15960,100,3,7,119,119,0.130346699,0,18,0.224892248,50371
"CBFS","400_15960_100_3_8",400,15960,100,3,8,119,119,0.124125018,0,16,0.179754752,49797
