method,name,Nodes,Edges,Labels,Max,Instance,Base.Value,Base.Cost
pilot.json,400_15960_100_3_8,400,15960,100,3,8,16,1452202
pilot.json,400_15960_100_3_9,400,15960,100,3,9,16,1444766
pilot.json,400_15960_100_3_10,400,15960,100,3,10,14,1446196
pilot.json,400_15960_200_6_2,400,15960,200,6,2,7,22028768
pilot.json,400_15960_200_6_1,400,15960,200,6,1,7,22164532
pilot.json,400_15960_200_6_3,400,15960,200,6,3,6,22008126
pilot.json,400_15960_200_6_4,400,15960,200,6,4,6,22059408
pilot.json,300_8970_375_9_1,300,8970,375,9,1,24,181407849
pilot.json,300_8970_375_9_2,300,8970,375,9,2,24,180567717
pilot.json,400_15960_200_6_5,400,15960,200,6,5,7,21953026
pilot.json,400_15960_200_6_6,400,15960,200,6,6,7,21977304
pilot.json,400_15960_200_6_7,400,15960,200,6,7,8,21972278
pilot.json,400_15960_200_6_8,400,15960,200,6,8,7,21955168
pilot.json,300_8970_375_9_3,300,8970,375,9,3,26,180556313
pilot.json,300_8970_375_9_4,300,8970,375,9,4,27,179887607
pilot.json,300_8970_375_9_5,300,8970,375,9,5,26,181165301
pilot.json,300_8970_375_9_8,300,8970,375,9,8,22,180696965
pilot.json,300_8970_375_9_7,300,8970,375,9,7,29,180580189
pilot.json,300_8970_375_9_6,300,8970,375,9,6,26,181780657
pilot.json,300_8970_375_9_9,300,8970,375,9,9,27,181177009
pilot.json,400_15960_200_6_9,400,15960,200,6,9,7,21868312
pilot.json,400_15960_200_6_10,400,15960,200,6,10,10,22005288
pilot.json,300_8970_375_9_10,300,8970,375,9,10,25,180777343
pilot.json,400_15960_400_6_5,400,15960,400,6,5,74,99463866
pilot.json,400_15960_400_12_6,400,15960,400,12,6,1,352609624
pilot.json,400_15960_400_12_7,400,15960,400,12,7,1,352167332
pilot.json,400_15960_400_12_2,400,15960,400,12,2,1,352705906
pilot.json,400_15960_400_12_3,400,15960,400,12,3,1,352277774
pilot.json,400_15960_400_12_4,400,15960,400,12,4,1,353572906
pilot.json,400_15960_400_12_1,400,15960,400,12,1,1,352569874
pilot.json,400_15960_400_12_9,400,15960,400,12,9,1,352683790
pilot.json,400_15960_400_12_8,400,15960,400,12,8,1,354131638
pilot.json,500_24950_125_3_1,500,24950,125,3,1,24,2389069
pilot.json,500_24950_125_3_2,500,24950,125,3,2,23,2359407
pilot.json,400_15960_400_12_10,400,15960,400,12,10,1,351843688
pilot.json,500_24950_125_3_3,500,24950,125,3,3,17,2362515
pilot.json,500_24950_125_3_4,500,24950,125,3,4,20,2354993
pilot.json,500_24950_125_3_5,500,24950,125,3,5,24,2364469
pilot.json,500_24950_125_3_6,500,24950,125,3,6,23,2369703
pilot.json,500_24950_125_3_7,500,24950,125,3,7,24,2379209
pilot.json,500_24950_125_3_8,500,24950,125,3,8,24,2379121
pilot.json,500_24950_125_3_9,500,24950,125,3,9,20,2371583
pilot.json,500_24950_125_3_10,500,24950,125,3,10,22,2323593
pilot.json,500_24950_250_7_1,500,24950,250,7,1,2,47302110
pilot.json,500_24950_250_7_2,500,24950,250,7,2,3,47001002
pilot.json,500_24950_250_7_3,500,24950,250,7,3,3,47015456
pilot.json,500_24950_250_7_4,500,24950,250,7,4,1,47173084
pilot.json,500_24950_250_7_5,500,24950,250,7,5,3,47120762
pilot.json,500_24950_250_7_6,500,24950,250,7,6,3,47039258
pilot.json,400_15960_500_12_1,400,15960,500,12,1,6,578865308
pilot.json,500_24950_250_7_7,500,24950,250,7,7,3,46739842
pilot.json,500_24950_250_7_8,500,24950,250,7,8,1,46802100
pilot.json,500_24950_250_7_9,500,24950,250,7,9,3,47202998
pilot.json,400_15960_500_12_2,400,15960,500,12,2,9,581425448
pilot.json,500_24950_250_7_10,500,24950,250,7,10,2,47192190
pilot.json,400_15960_500_12_3,400,15960,500,12,3,8,580482344
pilot.json,500_24950_500_7_1,500,24950,500,7,1,70,215177826
pilot.json,500_24950_500_7_2,500,24950,500,7,2,74,216401796
pilot.json,500_24950_500_7_3,500,24950,500,7,3,66,215104078
pilot.json,500_24950_500_7_4,500,24950,500,7,4,74,217356180
pilot.json,400_15960_500_12_4,400,15960,500,12,4,7,578701366
pilot.json,400_15960_500_12_5,400,15960,500,12,5,4,578437736
pilot.json,500_24950_500_7_5,500,24950,500,7,5,69,216033006
pilot.json,400_15960_500_12_7,400,15960,500,12,7,8,580942384
pilot.json,400_15960_500_12_6,400,15960,500,12,6,10,581254246
pilot.json,400_15960_500_12_8,400,15960,500,12,8,8,580414898
pilot.json,400_15960_500_12_9,400,15960,500,12,9,9,581552802
pilot.json,400_15960_500_12_10,400,15960,500,12,10,6,579771848
pilot.json,500_24950_500_7_6,500,24950,500,7,6,74,215609582
pilot.json,500_24950_500_7_7,500,24950,500,7,7,75,216047610
pilot.json,500_24950_500_7_8,500,24950,500,7,8,74,216324390
pilot.json,500_24950_500_7_9,500,24950,500,7,9,69,214975408
pilot.json,500_24950_500_7_10,500,24950,500,7,10,70,214708680
pilot.json,1000_99900_250_3_1,1000,99900,250,3,1,57,10890298
pilot.json,1000_99900_250_3_2,1000,99900,250,3,2,57,10938860
pilot.json,1000_99900_250_3_3,1000,99900,250,3,3,52,11023740
pilot.json,1000_99900_250_3_4,1000,99900,250,3,4,57,10946354
pilot.json,1000_99900_250_3_5,1000,99900,250,3,5,58,10991084
pilot.json,1000_99900_250_3_6,1000,99900,250,3,6,60,10917286
pilot.json,1000_99900_250_3_7,1000,99900,250,3,7,60,11017324
pilot.json,1000_99900_250_3_8,1000,99900,250,3,8,51,10951740
pilot.json,500_24950_625_7_1,500,24950,625,7,1,112,347612545
pilot.json,500_24950_625_7_6,500,24950,625,7,6,110,348336741
pilot.json,500_24950_625_7_7,500,24950,625,7,7,119,349096997
pilot.json,1000_99900_250_3_9,1000,99900,250,3,9,51,10885002
pilot.json,1000_99900_250_3_10,1000,99900,250,3,10,55,10953662
pilot.json,1000_99900_500_7_1,1000,99900,500,7,1,15,218236396
pilot.json,1000_99900_500_7_2,1000,99900,500,7,2,15,218197570
pilot.json,1000_99900_500_7_3,1000,99900,500,7,3,13,218112574
pilot.json,1000_99900_500_7_4,1000,99900,500,7,4,12,217742442
pilot.json,1000_99900_500_7_5,1000,99900,500,7,5,15,217928458
pilot.json,1000_99900_500_7_7,1000,99900,500,7,7,14,217374200
pilot.json,1000_99900_500_7_6,1000,99900,500,7,6,16,217995230
pilot.json,1000_99900_500_7_8,1000,99900,500,7,8,13,217926338
pilot.json,1000_99900_500_7_9,1000,99900,500,7,9,14,217595272
pilot.json,1000_99900_500_7_10,1000,99900,500,7,10,16,217515476
pilot.json,500_24950_625_15_2,500,24950,625,15,2,1,1429987827
pilot.json,500_24950_625_15_4,500,24950,625,15,4,1,1429011909
pilot.json,500_24950_625_15_3,500,24950,625,15,3,1,1430814463
pilot.json,500_24950_625_15_5,500,24950,625,15,5,1,1427108095
pilot.json,500_24950_625_15_8,500,24950,625,15,8,1,1432348615
pilot.json,500_24950_625_15_9,500,24950,625,15,9,1,1432702049
pilot.json,500_24950_625_15_10,500,24950,625,15,10,1,1430775203
pilot.json,1000_99900_1000_7_4,1000,99900,1000,7,4,185,971327150
pilot.json,1000_99900_1000_7_5,1000,99900,1000,7,5,181,975597224
