"","name","Value","Cost","method","Nodes","Edges","Labels","Max","Instance","Base.Value","Base.Cost","Diff.Value","Diff.Cost","Diff.Has"
"135","300_8970_300_9_5",9,66226094,"pilot.json",300,8970,300,9,5,9,110194245,0,-39.9005873673348,FALSE
"136","300_8970_300_9_6",11,66469030,"pilot.json",300,8970,300,9,6,11,110631135,0,-39.9183331166222,FALSE
"137","300_8970_300_9_7",9,66598292,"pilot.json",300,8970,300,9,7,9,110781533,0,-39.8832186227284,FALSE
"138","300_8970_300_9_8",12,66519448,"pilot.json",300,8970,300,9,8,12,110710419,0,-39.9158194857884,FALSE
"139","300_8970_300_9_9",9,66673658,"pilot.json",300,8970,300,9,9,9,111004127,0,-39.9358746364448,FALSE
"140","300_8970_375_9_1",24,109062893,"pilot.json",300,8970,375,9,1,24,181407849,0,-39.8797275855468,FALSE
"141","300_8970_375_9_10",25,108735231,"pilot.json",300,8970,375,9,10,25,180777343,0,-39.8512948605512,FALSE
"142","300_8970_375_9_2",24,108584393,"pilot.json",300,8970,375,9,2,24,180567717,0,-39.8650020036527,FALSE
"143","300_8970_375_9_3",26,108586329,"pilot.json",300,8970,375,9,3,26,180556313,0,-39.8601316144509,FALSE
"144","300_8970_375_9_4",27,108224841,"pilot.json",300,8970,375,9,4,27,179887607,0,-39.8375225481764,FALSE
"145","300_8970_375_9_5",26,108958319,"pilot.json",300,8970,375,9,5,26,181165301,0,-39.8569602464878,FALSE
"146","300_8970_375_9_6",26,109194653,"pilot.json",300,8970,375,9,6,26,181780657,0,-39.93054332508,FALSE
"147","300_8970_375_9_7",29,108538025,"pilot.json",300,8970,375,9,7,29,180580189,0,-39.8948325389116,FALSE
"148","300_8970_375_9_8",22,108654551,"pilot.json",300,8970,375,9,8,22,180696965,0,-39.8691887271045,FALSE
"149","300_8970_375_9_9",27,108902747,"pilot.json",300,8970,375,9,9,27,181177009,0,-39.8915195691303,FALSE
"150","300_8970_75_2_3",47,244547,"pilot.json",300,8970,75,2,3,47,406565,0,-39.8504544168829,FALSE
"151","300_8970_75_2_9",45,240489,"pilot.json",300,8970,75,2,9,45,400357,0,-39.9313612600754,FALSE
"152","300_8970_75_4_1",2,693980,"pilot.json",300,8970,75,4,1,2,1167946,0,-40.5811570055465,FALSE
"153","300_8970_75_4_10",1,711586,"pilot.json",300,8970,75,4,10,1,1197642,0,-40.5844150422246,FALSE
"154","300_8970_75_4_2",1,709358,"pilot.json",300,8970,75,4,2,1,1190684,0,-40.4243275293865,FALSE
"155","300_8970_75_4_4",1,699356,"pilot.json",300,8970,75,4,4,1,1177126,0,-40.5878385151632,FALSE
"156","300_8970_75_4_5",1,699322,"pilot.json",300,8970,75,4,5,1,1172868,0,-40.3750464672921,FALSE
"157","300_8970_75_4_6",1,705060,"pilot.json",300,8970,75,4,6,1,1187098,0,-40.6064200259793,FALSE
"158","300_8970_75_4_7",2,705192,"pilot.json",300,8970,75,4,7,2,1182454,0,-40.3619929401059,FALSE
"159","300_8970_75_4_8",1,705724,"pilot.json",300,8970,75,4,8,1,1184768,0,-40.4335701166811,FALSE
"160","400_15960_100_3_1",18,879646,"pilot.json",400,15960,100,3,1,18,1463854,0,-39.9088980185182,FALSE
"161","400_15960_100_3_10",14,868886,"pilot.json",400,15960,100,3,10,14,1446196,0,-39.9192087379581,FALSE
"162","400_15960_100_3_2",15,876006,"pilot.json",400,15960,100,3,2,15,1458806,0,-39.9504800501232,FALSE
"163","400_15960_100_3_3",19,862914,"pilot.json",400,15960,100,3,3,19,1438974,0,-40.0326899582619,FALSE
"164","400_15960_100_3_4",21,885152,"pilot.json",400,15960,100,3,4,21,1474604,0,-39.9735793474045,FALSE
"165","400_15960_100_3_5",14,879624,"pilot.json",400,15960,100,3,5,14,1462256,0,-39.844733069996,FALSE
"166","400_15960_100_3_6",17,874750,"pilot.json",400,15960,100,3,6,17,1458026,0,-40.0044992338957,FALSE
"167","400_15960_100_3_7",18,878350,"pilot.json",400,15960,100,3,7,18,1460446,0,-39.8574134202839,FALSE
"168","400_15960_100_3_8",16,872312,"pilot.json",400,15960,100,3,8,16,1452202,0,-39.9317725770933,FALSE
"169","400_15960_100_3_9",16,866432,"pilot.json",400,15960,100,3,9,16,1444766,0,-40.0295964882895,FALSE
"170","400_15960_200_6_1",7,13296585,"pilot.json",400,15960,200,6,1,7,22164532,0,-40.0096288971949,FALSE
"171","400_15960_200_6_10",10,13194407,"pilot.json",400,15960,200,6,10,10,22005288,0,-40.0398349705762,FALSE
"172","400_15960_200_6_2",7,13208265,"pilot.json",400,15960,200,6,2,7,22028768,0,-40.0408366005761,FALSE
"173","400_15960_200_6_3",6,13197509,"pilot.json",400,15960,200,6,3,6,22008126,0,-40.0334721820477,FALSE
"174","400_15960_200_6_4",6,13234091,"pilot.json",400,15960,200,6,4,6,22059408,0,-40.0070437067033,FALSE
"175","400_15960_200_6_5",7,13171809,"pilot.json",400,15960,200,6,5,7,21953026,0,-40.0000300641925,FALSE
"176","400_15960_200_6_6",7,13184285,"pilot.json",400,15960,200,6,6,7,21977304,0,-40.0095434817665,FALSE
"177","400_15960_200_6_7",8,13163089,"pilot.json",400,15960,200,6,7,8,21972278,0,-40.0922881095897,FALSE
"178","400_15960_200_6_8",7,13168089,"pilot.json",400,15960,200,6,8,7,21955168,0,-40.0228274272372,FALSE
"179","400_15960_200_6_9",7,13113657,"pilot.json",400,15960,200,6,9,7,21868312,0,-40.033519733942,FALSE
"180","400_15960_400_12_1",1,211902230,"pilot.json",400,15960,400,12,1,1,352569874,0,-39.8978059027244,FALSE
"181","400_15960_400_12_10",1,211327976,"pilot.json",400,15960,400,12,10,1,351843688,0,-39.9369711017809,FALSE
"182","400_15960_400_12_2",1,211879300,"pilot.json",400,15960,400,12,2,1,352705906,0,-39.9274873497582,FALSE
"183","400_15960_400_12_3",1,211633810,"pilot.json",400,15960,400,12,3,1,352277774,0,-39.9241662064096,FALSE
"184","400_15960_400_12_4",1,212410816,"pilot.json",400,15960,400,12,4,1,353572906,0,-39.924464687348,FALSE
"185","400_15960_400_12_6",1,211843698,"pilot.json",400,15960,400,12,6,1,352609624,0,-39.9211809374778,FALSE
"186","400_15960_400_12_7",1,211534942,"pilot.json",400,15960,400,12,7,1,352167332,0,-39.9334001826155,FALSE
"187","400_15960_400_12_8",1,212727126,"pilot.json",400,15960,400,12,8,1,354131638,0,-39.9299291073225,FALSE
"188","400_15960_400_12_9",1,212002018,"pilot.json",400,15960,400,12,9,1,352683790,0,-39.8889248638277,FALSE
"189","400_15960_400_6_5",74,59818687,"pilot.json",400,15960,400,6,5,74,99463866,0,-39.8588759861797,FALSE
"190","400_15960_500_12_1",6,348012462,"pilot.json",400,15960,500,12,1,6,578865308,0,-39.8802351444423,FALSE
"191","400_15960_500_12_10",6,348524146,"pilot.json",400,15960,500,12,10,6,579771848,0,-39.8859832186954,FALSE
"192","400_15960_500_12_2",9,349580700,"pilot.json",400,15960,500,12,2,9,581425448,0,-39.8752322928941,FALSE
"193","400_15960_500_12_3",8,349079668,"pilot.json",400,15960,500,12,3,8,580482344,0,-39.8638612167677,FALSE
"194","400_15960_500_12_4",7,347875440,"pilot.json",400,15960,500,12,4,7,578701366,0,-39.8868811379305,FALSE
