,name,Value,Cost,method,Nodes,Edges,Labels,Max,Instance,Base.Value,Base.Cost,Diff.Value,Diff.Cost,Diff.Has,Type,NodesC,EdgesC,LabelsC,MaxC,InstanceC,a,b,c,d,ValueC,t,CostC,Diff.ValueC,Diff.CostC
55,1000_99900_1250_15_5,9,3954782819,pilot.json,1000,99900,1250,15,5,9,6569232152,0,-39.7984006731142,FALSE,CBFS,1000,99900,1250,15,5,789,789,81.795100415,126,9,438.973175336,25755052,0,15255.3672460067
56,1000_99900_1250_15_6,9,3954303655,pilot.json,1000,99900,1250,15,6,9,6567936884,0,-39.7938237708558,FALSE,CBFS,1000,99900,1250,15,6,789,789,166.995187436,274,10,433.39134642,25672047,-10,15303.1490165159
57,1000_99900_1250_15_7,12,3956864077,pilot.json,1000,99900,1250,15,7,12,6571973408,0,-39.7918428552473,FALSE,CBFS,1000,99900,1250,15,7,789,789,238.134799358,398,11,438.525352144,25928672,9.09090909090909,15160.5736113288
58,1000_99900_1250_15_8,10,3955924793,pilot.json,1000,99900,1250,15,8,10,6570957812,0,-39.7968316616549,FALSE,CBFS,1000,99900,1250,15,8,789,789,97.882699547,150,12,425.062928561,25348668,-16.6666666666667,15506.0460178815
59,1000_99900_1250_15_9,12,3957235933,pilot.json,1000,99900,1250,15,9,12,6574156968,0,-39.8061842413861,FALSE,CBFS,1000,99900,1250,15,9,789,789,19.678124236,0,13,434.118073184,25675638,-7.69230769230769,15312.4151968492
60,1000_99900_250_3_1,57,6533232,pilot.json,1000,99900,250,3,1,57,10890298,0,-40.0086939769692,FALSE,CBFS,1000,99900,250,3,1,147,147,0.597541462,0,57,1.228073667,169068,0,3764.26290013486
61,1000_99900_250_3_10,55,6573112,pilot.json,1000,99900,250,3,10,55,10953662,0,-39.9916484551011,FALSE,CBFS,1000,99900,250,3,10,147,147,0.542176162,0,55,1.292127226,167760,0,3818.1640438722
62,1000_99900_250_3_2,57,6570314,pilot.json,1000,99900,250,3,2,57,10938860,0,-39.9360262403943,FALSE,CBFS,1000,99900,250,3,2,147,147,0.606620755,4,57,1.238607509,169367,0,3779.33540772406
63,1000_99900_250_3_3,52,6609412,pilot.json,1000,99900,250,3,3,52,11023740,0,-40.0438326738475,FALSE,CBFS,1000,99900,250,3,3,147,147,0.580790914,0,52,1.168741585,168539,0,3821.59203507793
64,1000_99900_250_3_4,57,6561292,pilot.json,1000,99900,250,3,4,57,10946354,0,-40.0595668658258,FALSE,CBFS,1000,99900,250,3,4,147,147,0.594193902,10,57,1.307900641,169240,0,3776.91562278421
65,1000_99900_250_3_5,58,6594736,pilot.json,1000,99900,250,3,5,58,10991084,0,-39.9992211869184,FALSE,CBFS,1000,99900,250,3,5,147,147,0.569208223,0,58,1.225517437,168848,0,3805.72349095044
66,1000_99900_250_3_6,60,6550662,pilot.json,1000,99900,250,3,6,60,10917286,0,-39.9973399982377,FALSE,CBFS,1000,99900,250,3,6,147,147,0.638596808,0,59,1.255915498,167830,1.69491525423729,3803.15319072871
67,1000_99900_250_3_7,60,6608332,pilot.json,1000,99900,250,3,7,60,11017324,0,-40.0187196092263,FALSE,CBFS,1000,99900,250,3,7,147,147,0.584558905,0,60,1.307668838,168760,0,3815.81654420479
68,1000_99900_250_3_8,51,6574468,pilot.json,1000,99900,250,3,8,51,10951740,0,-39.968735561655,FALSE,CBFS,1000,99900,250,3,8,147,147,0.651388605,17,51,1.227737452,168501,0,3801.73826861562
69,1000_99900_250_3_9,51,6524198,pilot.json,1000,99900,250,3,9,51,10885002,0,-40.0625006775378,FALSE,CBFS,1000,99900,250,3,9,147,147,0.779936531,21,51,1.30625342,168299,0,3776.55185116964
70,1000_99900_500_7_1,15,131224086,pilot.json,1000,99900,500,7,1,15,218236396,0,-39.8706685020587,FALSE,CBFS,1000,99900,500,7,1,349,349,17.370272483,237,13,24.231273327,2055022,15.3846153846154,6285.53193104502
71,1000_99900_500_7_10,16,130823764,pilot.json,1000,99900,500,7,10,16,217515476,0,-39.8554225171546,FALSE,CBFS,1000,99900,500,7,10,349,349,13.666493161,169,16,22.800745527,2036030,0,6325.43400637515
72,1000_99900_500_7_2,14,131164874,pilot.json,1000,99900,500,7,2,15,218197570,-6.66666666666667,-39.8871059838109,FALSE,CBFS,1000,99900,500,7,2,349,349,11.839809787,142,14,24.499340828,2060420,0,6265.9289853525
73,1000_99900_500_7_3,14,131033836,pilot.json,1000,99900,500,7,3,13,218112574,7.69230769230769,-39.9237588200669,FALSE,CBFS,1000,99900,500,7,3,349,349,3.608344085,0,13,24.257002241,2053371,7.69230769230769,6281.4009255999
74,1000_99900_500_7_4,12,130873602,pilot.json,1000,99900,500,7,4,12,217742442,0,-39.8952263059491,FALSE,CBFS,1000,99900,500,7,4,349,349,9.066993688,104,14,24.229149683,2061238,-14.2857142857143,6249.27174833765
75,1000_99900_500_7_5,15,131047902,pilot.json,1000,99900,500,7,5,15,217928458,0,-39.8665492324091,FALSE,CBFS,1000,99900,500,7,5,349,349,3.039755862,0,14,24.127364887,2066190,7.14285714285714,6242.4903808459
76,1000_99900_500_7_6,16,131024730,pilot.json,1000,99900,500,7,6,16,217995230,0,-39.8955977156014,FALSE,CBFS,1000,99900,500,7,6,349,349,6.590168027,59,15,23.503202978,2038717,6.66666666666667,6326.82284986097
77,1000_99900_500_7_7,14,130723954,pilot.json,1000,99900,500,7,7,14,217374200,0,-39.8622495217924,FALSE,CBFS,1000,99900,500,7,7,349,349,9.16463398,112,13,23.406830414,2043205,7.69230769230769,6297.98522419434
78,1000_99900_500_7_8,16,130877372,pilot.json,1000,99900,500,7,8,13,217926338,23.0769230769231,-39.9442154623825,FALSE,CBFS,1000,99900,500,7,8,349,349,20.497845394,289,15,24.066746857,2044375,6.66666666666667,6301.82804035463
79,1000_99900_500_7_9,14,130876104,pilot.json,1000,99900,500,7,9,14,217595272,0,-39.8534247563982,FALSE,CBFS,1000,99900,500,7,9,349,349,8.470105236,93,14,23.956947797,2059107,0,6255.9642116704
80,200_3980_100_6_1,2,2721566,pilot.json,200,3980,100,6,1,2,4544592,0,-40.1141840675687,FALSE,CBFS,200,3980,100,6,1,208,208,0.06084306,0,2,0.224325828,188611,0,1342.95189570067
81,200_3980_100_6_10,2,2718538,pilot.json,200,3980,100,6,10,2,4541636,0,-40.1418783891972,FALSE,CBFS,200,3980,100,6,10,208,208,0.060755656,0,2,0.293715883,184222,0,1375.68585728089
82,200_3980_100_6_2,1,2732652,pilot.json,200,3980,100,6,2,1,4570342,0,-40.2090259328514,FALSE,CBFS,200,3980,100,6,2,208,208,0.061832369,0,1,0.06200226,122928,0,2122.96954314721
83,200_3980_100_6_3,1,2731742,pilot.json,200,3980,100,6,3,1,4568972,0,-40.2110146439943,FALSE,CBFS,200,3980,100,6,3,208,208,0.063935302,0,2,0.237797473,184830,-50,1377.97543688795
84,200_3980_100_6_4,1,2739606,pilot.json,200,3980,100,6,4,1,4580748,0,-40.1930427083088,FALSE,CBFS,200,3980,100,6,4,208,208,0.081960047,11,1,0.082583875,127906,0,2041.89013807015
85,200_3980_100_6_5,2,2752554,pilot.json,200,3980,100,6,5,2,4600594,0,-40.1695954913648,FALSE,CBFS,200,3980,100,6,5,208,208,0.069808093,7,2,0.228328428,189836,0,1349.96417960766
86,200_3980_100_6_6,2,2724042,pilot.json,200,3980,100,6,6,2,4580542,0,-40.5301381364913,FALSE,CBFS,200,3980,100,6,6,208,208,0.06426224,0,2,0.256783836,184562,0,1375.94954541021
87,200_3980_100_6_7,1,2727062,pilot.json,200,3980,100,6,7,1,4556442,0,-40.149309483145,FALSE,CBFS,200,3980,100,6,7,208,208,0.063621238,0,1,0.063780238,122928,0,2118.42216582064
88,200_3980_100_6_8,2,2731778,pilot.json,200,3980,100,6,8,2,4561632,0,-40.1140205961375,FALSE,CBFS,200,3980,100,6,8,208,208,0.077802784,12,2,0.28633407,189024,0,1345.20166751312
89,200_3980_100_6_9,1,2733056,pilot.json,200,3980,100,6,9,1,4566326,0,-40.1475934920109,FALSE,CBFS,200,3980,100,6,9,208,208,0.061067124,0,1,0.06124499,122928,0,2123.29819081088
90,200_3980_200_6_1,29,12877715,pilot.json,200,3980,200,6,1,29,21403278,0,-39.8329779204849,FALSE,CBFS,200,3980,200,6,1,251,251,0.101076944,0,29,1.429962994,500078,0,2475.14127796064
91,200_3980_200_6_10,31,12941613,pilot.json,200,3980,200,6,10,31,21536448,0,-39.9083219294101,FALSE,CBFS,200,3980,200,6,10,251,251,1.121985785,171,29,1.382686508,494987,6.89655172413793,2514.53593730744
92,200_3980_200_6_2,28,12881199,pilot.json,200,3980,200,6,2,28,21453056,0,-39.9563446811494,FALSE,CBFS,200,3980,200,6,2,251,251,0.091150086,0,28,1.366686698,488568,0,2536.52122120155
93,200_3980_200_6_3,40,12783591,pilot.json,200,3980,200,6,3,40,21269002,0,-39.8956707042484,FALSE,CBFS,200,3980,200,6,3,251,251,0.098004221,0,40,1.49108414,496918,0,2472.57555572549
94,200_3980_200_6_4,33,12769205,pilot.json,200,3980,200,6,4,33,21251756,0,-39.9145887050463,FALSE,CBFS,200,3980,200,6,4,251,251,0.090758996,0,32,1.425510284,496293,3.125,2472.91660369983
95,200_3980_200_6_5,34,12849649,pilot.json,200,3980,200,6,5,34,21388162,0,-39.9216772343505,FALSE,CBFS,200,3980,200,6,5,251,251,0.090709973,0,34,1.497917107,497950,0,2480.50989055126
96,200_3980_200_6_6,34,12902843,pilot.json,200,3980,200,6,6,34,21453558,0,-39.8568619713336,FALSE,CBFS,200,3980,200,6,6,251,251,0.094102412,0,34,1.479056433,500355,0,2478.73769623567
97,200_3980_200_6_7,31,12885225,pilot.json,200,3980,200,6,7,31,21430580,0,-39.8745857554952,FALSE,CBFS,200,3980,200,6,7,251,251,0.089024429,0,30,1.356363348,500025,3.33333333333333,2476.91615419229
98,200_3980_200_6_8,29,12889271,pilot.json,200,3980,200,6,8,29,21462298,0,-39.9445902764,FALSE,CBFS,200,3980,200,6,8,251,251,0.088557919,0,29,1.371699536,496483,0,2496.11527484325
99,200_3980_200_6_9,38,12869197,pilot.json,200,3980,200,6,9,38,21431558,0,-39.9521164070293,FALSE,CBFS,200,3980,200,6,9,251,251,0.091350753,0,38,1.372076808,497980,0,2484.27989075867
100,200_3980_250_12_1,1,73358630,pilot.json,200,3980,250,12,1,1,122409244,0,-40.0710047682347,FALSE,CBFS,200,3980,250,12,1,460,460,0.34807731,0,1,0.348295262,1355160,0,5313.28182650019
101,200_3980_250_12_2,1,73048796,pilot.json,200,3980,250,12,2,1,122030682,0,-40.1389922577012,FALSE,CBFS,200,3980,250,12,2,460,460,0.326705173,0,1,0.326938925,1355160,0,5290.41854836329
102,200_3980_250_12_5,1,73001348,pilot.json,200,3980,250,12,5,1,121869894,0,-40.0989484736895,FALSE,CBFS,200,3980,250,12,5,460,460,0.387192401,0,1,0.38738746,1355160,0,5286.91726438207
103,200_3980_250_12_7,1,73149778,pilot.json,200,3980,250,12,7,1,122078974,0,-40.0799534897795,FALSE,CBFS,200,3980,250,12,7,460,460,0.358352568,0,1,0.35853901,1355160,0,5297.87021458721
104,200_3980_250_12_8,1,73435774,pilot.json,200,3980,250,12,8,1,122583248,0,-40.0931406222814,FALSE,CBFS,200,3980,250,12,8,460,460,0.322623073,0,1,0.322826548,1355160,0,5318.97443844269
105,200_3980_250_6_10,45,20940247,pilot.json,200,3980,250,6,10,45,34831188,0,-39.8807557181225,FALSE,CBFS,200,3980,250,6,10,264,264,0.112464974,0,45,1.134188002,665923,0,3044.54478971292
106,200_3980_250_6_3,47,20929105,pilot.json,200,3980,250,6,3,47,34808696,0,-39.8739182875452,FALSE,CBFS,200,3980,250,6,3,264,264,0.096392065,0,47,1.639251009,664456,0,3049.81052168992
107,200_3980_250_6_4,50,20945379,pilot.json,200,3980,250,6,4,50,34839670,0,-39.8806619006437,FALSE,CBFS,200,3980,250,6,4,264,264,0.095355668,0,50,1.723059347,666732,0,3041.49898309966
